Time,Error
0,746.9332841
100,746.9345327
200,746.9357814
300,746.93703
400,746.9382786
500,746.9395272
600,371.2429748
700,371.2431829
800,371.243391
900,371.2435991
1000,371.2438072
1100,168.6692536
1200,168.6692536
1300,168.6692536
1400,168.6692536
1500,168.6692536
1600,252.5507556
1700,252.5507556
1800,252.5507556
1900,252.5507556
2000,252.5507556
2100,270.4777605
2200,270.4777605
2300,270.4777605
2400,270.4777605
2500,270.4777605
2600,275.6709677
2700,275.6709677
2800,275.6709677
2900,275.6709677
3000,275.6709677
3100,199.1716782
3200,199.1716782
3300,199.1716782
3400,199.1716782
3500,199.1716782
3600,132.0078593
3700,132.0078593
3800,132.0078593
3900,132.0078593
4000,132.0078593
4100,62.26683622
4200,62.26683622
4300,62.26683622
4400,62.26683622
4500,62.26683622
4600,37.18301061
4700,37.18301061
4800,37.18301061
4900,37.18301061
5000,37.18301061
5100,83.80023812
5200,83.80023812
5300,83.80023812
5400,83.80023812
5500,83.80023812
5600,83.06303308
5700,83.06303308
5800,83.06303308
5900,83.06303308
6000,83.06303308
6100,62.31616802
6200,62.31616802
6300,62.31616802
6400,62.31616802
6500,62.31616802
6600,77.82362165
6700,77.82362165
6800,77.82362165
6900,77.82362165
7000,77.82362165
7100,61.98826731
7200,61.98826731
7300,61.98826731
7400,61.98826731
7500,61.98826731
7600,82.77284575
7700,82.77284575
7800,82.77284575
7900,82.77284575
8000,82.77284575
8100,77.46578768
8200,77.46578768
8300,77.46578768
8400,77.46578768
8500,77.46578768
8600,62.55967481
8700,62.55967481
8800,62.55967481
8900,62.55967481
9000,62.55967481
9100,15.98795644
9200,15.98795644
9300,15.98795644
9400,15.98795644
9500,15.98795644
9600,3.71048735
9700,3.71048735
9800,3.71048735
9900,3.71048735